scenario,seed,concurrency,tokens,mode,frames,block_size,submitted,completed,capacity_rejected,rejection_rate,weighted_internal_fragmentation,peak_allocated_slots,swap_in_pages,swap_out_pages
capacity_boundary,0,1,256,contiguous,256,16,1,1,0,0.0,0.9686279296875,4096,0,0
capacity_boundary,0,1,256,paged,256,16,1,1,0,0.0,0.05514705882352944,256,0,0
capacity_boundary,0,1,256,swap,256,16,1,1,0,0.0,0.05514705882352944,256,0,0
capacity_boundary,0,4,256,contiguous,256,16,4,1,3,0.75,0.9686279296875,4096,0,0
capacity_boundary,0,4,256,paged,256,16,4,4,0,0.0,0.05514705882352944,1024,0,0
capacity_boundary,0,4,256,swap,256,16,4,4,0,0.0,0.05514705882352944,1024,0,0
capacity_boundary,0,16,256,contiguous,256,16,16,1,15,0.9375,0.9686279296875,4096,0,0
capacity_boundary,0,16,256,paged,256,16,16,16,0,0.0,0.05514705882352944,4096,0,0
capacity_boundary,0,16,256,swap,256,16,16,16,0,0.0,0.05514705882352944,4096,0,0
capacity_boundary,0,64,256,contiguous,256,16,64,1,63,0.984375,0.9686279296875,4096,0,0
capacity_boundary,0,64,256,paged,256,16,64,0,64,1.0,0.18292682926829273,4096,0,0
capacity_boundary,0,64,256,swap,256,16,64,0,64,1.0,0.10273972602739723,8192,26362,26618
capacity_boundary,0,1,1024,contiguous,256,16,1,1,0,0.0,0.8748779296875,4096,0,0
capacity_boundary,0,1,1024,paged,256,16,1,1,0,0.0,0.014423076923076872,1024,0,0
capacity_boundary,0,1,1024,swap,256,16,1,1,0,0.0,0.014423076923076872,1024,0,0
capacity_boundary,0,4,1024,contiguous,256,16,4,1,3,0.75,0.8748779296875,4096,0,0
capacity_boundary,0,4,1024,paged,256,16,4,4,0,0.0,0.014423076923076872,4096,0,0
capacity_boundary,0,4,1024,swap,256,16,4,4,0,0.0,0.014423076923076872,4096,0,0
capacity_boundary,0,16,1024,contiguous,256,16,16,1,15,0.9375,0.8748779296875,4096,0,0
capacity_boundary,0,16,1024,paged,256,16,16,0,16,1.0,0.054744525547445244,4096,0,0
capacity_boundary,0,16,1024,swap,256,16,16,0,16,1.0,0.028301886792452824,8192,99736,99992
capacity_boundary,0,64,1024,contiguous,256,16,64,1,63,0.984375,0.8748779296875,4096,0,0
capacity_boundary,0,64,1024,paged,256,16,64,0,64,1.0,0.18292682926829273,4096,0,0
capacity_boundary,0,64,1024,swap,256,16,64,0,64,1.0,0.10273972602739723,8192,26362,26618
capacity_boundary,0,1,4096,contiguous,256,16,1,1,0,0.0,0.4998779296875,4096,0,0
capacity_boundary,0,1,4096,paged,256,16,1,1,0,0.0,0.0036478599221789754,4096,0,0
capacity_boundary,0,1,4096,swap,256,16,1,1,0,0.0,0.0036478599221789754,4096,0,0
capacity_boundary,0,4,4096,contiguous,256,16,4,1,3,0.75,0.4998779296875,4096,0,0
capacity_boundary,0,4,4096,paged,256,16,4,0,4,1.0,0.014395393474088247,4096,0,0
capacity_boundary,0,4,4096,swap,256,16,4,0,4,1.0,0.007260406582768608,8192,353302,353558
capacity_boundary,0,16,4096,contiguous,256,16,16,1,15,0.9375,0.4998779296875,4096,0,0
capacity_boundary,0,16,4096,paged,256,16,16,0,16,1.0,0.054744525547445244,4096,0,0
capacity_boundary,0,16,4096,swap,256,16,16,0,16,1.0,0.028301886792452824,8192,99736,99992
capacity_boundary,0,64,4096,contiguous,256,16,64,1,63,0.984375,0.4998779296875,4096,0,0
capacity_boundary,0,64,4096,paged,256,16,64,0,64,1.0,0.18292682926829273,4096,0,0
capacity_boundary,0,64,4096,swap,256,16,64,0,64,1.0,0.10273972602739723,8192,26362,26618
