scenario,seed,concurrency,tokens,mode,frames,block_size,submitted,completed,capacity_rejected,rejection_rate,weighted_internal_fragmentation,peak_allocated_slots,swap_in_pages,swap_out_pages
mixed,42,32,0,contiguous,8,2,32,0,32,1.0,0,0,0,0
mixed,42,32,0,paged,8,2,32,0,32,1.0,0.13636363636363635,16,0,0
mixed,42,32,0,swap,8,2,32,15,17,0.53125,0.09263657957244653,80,309,369
mixed,43,32,0,contiguous,8,2,32,0,32,1.0,0,0,0,0
mixed,43,32,0,paged,8,2,32,0,32,1.0,0.13636363636363635,16,0,0
mixed,43,32,0,swap,8,2,32,5,27,0.84375,0.07435897435897432,80,420,498
mixed,44,32,0,contiguous,8,2,32,0,32,1.0,0,0,0,0
mixed,44,32,0,paged,8,2,32,0,32,1.0,0.13636363636363635,16,0,0
mixed,44,32,0,swap,8,2,32,10,22,0.6875,0.08352668213457082,80,305,362
mixed,42,32,0,contiguous,16,2,32,2,30,0.9375,0.90625,32,0,0
mixed,42,32,0,paged,16,2,32,5,27,0.84375,0.12152777777777779,32,0,0
mixed,42,32,0,swap,16,2,32,21,11,0.34375,0.07535211267605635,96,538,610
mixed,43,32,0,contiguous,16,2,32,2,30,0.9375,0.921875,32,0,0
mixed,43,32,0,paged,16,2,32,7,25,0.78125,0.11442786069651745,32,0,0
mixed,43,32,0,swap,16,2,32,14,18,0.5625,0.07344632768361581,96,521,586
mixed,44,32,0,contiguous,16,2,32,1,31,0.96875,0.734375,32,0,0
mixed,44,32,0,paged,16,2,32,2,30,0.9375,0.08684210526315794,32,0,0
mixed,44,32,0,swap,16,2,32,12,20,0.625,0.07154088050314467,96,505,552
mixed,42,32,0,contiguous,32,2,32,4,28,0.875,0.9117647058823529,64,0,0
mixed,42,32,0,paged,32,2,32,16,16,0.5,0.08891213389121344,64,0,0
mixed,42,32,0,swap,32,2,32,25,7,0.21875,0.07050645481628603,128,744,814
mixed,43,32,0,contiguous,32,2,32,3,29,0.90625,0.846875,64,0,0
mixed,43,32,0,paged,32,2,32,10,22,0.6875,0.08021978021978027,64,0,0
mixed,43,32,0,swap,32,2,32,19,13,0.40625,0.07066950053134968,128,629,690
mixed,44,32,0,contiguous,32,2,32,2,30,0.9375,0.7089285714285714,64,0,0
mixed,44,32,0,paged,32,2,32,10,22,0.6875,0.06818181818181823,64,0,0
mixed,44,32,0,swap,32,2,32,19,13,0.40625,0.07100238663484482,128,584,617
mixed,42,32,0,contiguous,8,4,32,2,30,0.9375,0.90625,32,0,0
mixed,42,32,0,paged,8,4,32,7,25,0.78125,0.2893258426966292,32,0,0
mixed,42,32,0,swap,8,4,32,30,2,0.0625,0.18833580980683506,160,564,624
mixed,43,32,0,contiguous,8,4,32,2,30,0.9375,0.921875,32,0,0
mixed,43,32,0,paged,8,4,32,4,28,0.875,0.23983739837398377,32,0,0
mixed,43,32,0,swap,8,4,32,21,11,0.34375,0.18930390492359928,160,477,529
mixed,44,32,0,contiguous,8,4,32,1,31,0.96875,0.734375,32,0,0
mixed,44,32,0,paged,8,4,32,3,29,0.90625,0.22250000000000003,32,0,0
mixed,44,32,0,swap,8,4,32,25,7,0.21875,0.19990974729241873,160,435,490
mixed,42,32,0,contiguous,16,4,32,4,28,0.875,0.9117647058823529,64,0,0
mixed,42,32,0,paged,16,4,32,15,17,0.53125,0.2332589285714286,64,0,0
mixed,42,32,0,swap,16,4,32,32,0,0.0,0.1875,172,577,624
mixed,43,32,0,contiguous,16,4,32,3,29,0.90625,0.846875,64,0,0
mixed,43,32,0,paged,16,4,32,8,24,0.75,0.1890909090909091,64,0,0
mixed,43,32,0,swap,16,4,32,24,8,0.25,0.17734159779614322,192,564,618
mixed,44,32,0,contiguous,16,4,32,2,30,0.9375,0.7089285714285714,64,0,0
mixed,44,32,0,paged,16,4,32,10,22,0.6875,0.2421052631578947,64,0,0
mixed,44,32,0,swap,16,4,32,29,3,0.09375,0.18706293706293708,192,559,609
mixed,42,32,0,contiguous,32,4,32,6,26,0.8125,0.8610197368421053,128,0,0
mixed,42,32,0,paged,32,4,32,24,8,0.25,0.19999999999999996,128,0,0
mixed,42,32,0,swap,32,4,32,32,0,0.0,0.1875,172,398,417
